Run,Organism,create_date,geo_loc_name_country,geo_loc_name_country_continent,Collection_Date,isolation_source,HOST
SRR13448258,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448259,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448260,Salmonella enterica subsp. salamae,2021-01-16T13:57:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448261,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448262,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448263,Salmonella enterica subsp. salamae,2021-01-16T13:54:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448264,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448265,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448266,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448267,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448268,Salmonella enterica subsp. salamae,2021-01-16T14:18:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448269,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448270,Salmonella enterica subsp. Salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448271,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448272,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448273,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448274,Salmonella enterica subsp. salamae,2021-01-16T14:17:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448275,Salmonella enterica subsp. salamae,2021-01-16T14:15:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448276,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448277,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448278,Salmonella enterica subsp. salamae,2021-01-16T14:17:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448279,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448280,Salmonella enterica subsp. salamae,2021-01-16T14:17:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448281,Salmonella enterica subsp. salamae,2021-01-16T14:18:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448282,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448283,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448284,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448285,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448286,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448287,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448288,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448289,Salmonella enterica subsp. salamae,2021-01-16T14:19:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448290,Salmonella enterica subsp. salamae,2021-01-16T14:17:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448291,Salmonella enterica subsp. salamae,2021-01-16T14:17:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448292,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448293,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448294,Salmonella enterica subsp. salamae,2021-01-16T14:16:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448295,Salmonella enterica subsp. salamae,2021-01-16T14:17:00Z,Spain,Europe,20/10/2012,broiler feces,Gallus gallus
SRR13448479,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448480,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448481,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448482,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448483,Salmonella enterica subsp. diarizonae,2021-01-16T14:49:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448484,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448485,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448486,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448487,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448488,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448489,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448490,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448491,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448492,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448493,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448494,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448495,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448496,Salmonella enterica subsp. diarizonae,2021-01-16T14:48:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448497,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448498,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448499,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448500,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448501,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448502,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448503,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448504,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448505,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448506,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448507,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448508,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448509,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448510,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448511,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448512,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448513,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448514,Salmonella enterica subsp. diarizonae,2021-01-16T14:47:00Z,Spain,Europe,01/03/2013,broiler feces,Gallus gallus
SRR13448627,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448628,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448629,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448630,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448631,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448632,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448633,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448634,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448635,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448636,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448637,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448638,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448639,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448640,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448641,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448642,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448643,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448644,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448645,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448646,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448647,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448648,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448649,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448650,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448651,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448652,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448653,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448654,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448655,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448656,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448657,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448658,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448659,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448660,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448661,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448662,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448663,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448664,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448665,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448666,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448667,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448668,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448669,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448670,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448671,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448672,Salmonella enterica,2021-01-16T16:21:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448673,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448674,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448675,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448676,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448677,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448678,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448679,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448680,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448681,Salmonella enterica,2021-01-16T16:21:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448682,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448683,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448684,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448685,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448686,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448687,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448688,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448689,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448690,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448691,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448692,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448693,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448694,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448695,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448696,Salmonella enterica,2021-01-16T16:24:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448697,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448698,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448699,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448700,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448701,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448702,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448703,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448704,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448705,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448706,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448707,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448708,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448709,Salmonella enterica,2021-01-16T16:27:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448710,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448711,Salmonella enterica,2021-01-16T16:21:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448712,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448713,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448714,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448715,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448716,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448717,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448718,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448719,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448720,Salmonella enterica,2021-01-16T16:22:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448721,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448722,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448723,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448724,Salmonella enterica,2021-01-16T16:18:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448725,Salmonella enterica,2021-01-16T16:21:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448726,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448727,Salmonella enterica,2021-01-16T16:20:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13448728,Salmonella enterica,2021-01-16T16:19:00Z,Spain,Europe,20/05/2013,,Gallus gallus
SRR13449041,Salmonella enterica subsp. salamae,2021-01-16T17:32:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449042,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449043,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449044,Salmonella enterica subsp. salamae,2021-01-16T17:32:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449045,Salmonella enterica subsp. salamae,2021-01-16T17:33:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449046,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449047,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449048,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449049,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449050,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449051,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449052,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449053,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449054,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449055,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449056,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449057,Salmonella enterica subsp. salamae,2021-01-16T17:32:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449058,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449059,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449060,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449061,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449062,Salmonella enterica subsp. salamae,2021-01-16T17:32:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449063,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449064,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449065,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449066,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449067,Salmonella enterica subsp. salamae,2021-01-16T17:32:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449068,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449069,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449070,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449071,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449072,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449073,Salmonella enterica subsp. salamae,2021-01-16T17:32:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
SRR13449074,Salmonella enterica subsp. salamae,2021-01-16T17:31:00Z,Spain,Europe,15/10/2013,broiler feces,Gallus gallus
