Run,STRAND,GENE,DATABASE,RESISTANCE,Organism,create_date,country,continent,Collection_Date,isolation_source,HOST
SRR27033042,+,aadA2_1,resfinder,Streptomycin,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,+,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,+,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,-,floR_2,resfinder,Chloramphenicol;Florfenicol,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,+,sul3_2,resfinder,Sulfamethoxazole,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,-,ant(3'')-Ia_1,resfinder,Streptomycin,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR24952283,+,tet(A)_6,resfinder,Doxycycline;Tetracycline,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR24952283,-,blaCTX-M-2_1,resfinder,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR24952283,+,aadA2_1,resfinder,Streptomycin,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR24952283,+,sul1_5,resfinder,Sulfamethoxazole,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR24952283,+,aadA2_1,resfinder,Streptomycin,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR24952283,+,sul1_5,resfinder,Sulfamethoxazole,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR24952283,+,tet(A)_6,resfinder,Doxycycline;Tetracycline,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR24952283,-,blaCTX-M-2_1,resfinder,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin,Escherichia coli,2023-06-16T20:51:00Z,Japan,Asia,2003,missing,missing
SRR27187002,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,tet(B)_2,resfinder,Doxycycline;Tetracycline;Minocycline,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,aph(3')-Ia_1,resfinder,,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,aph(3')-Ia_1,resfinder,,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187002,-,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:48:00Z,USA,North America,2021-11,,Gallus gallus
SRR23384579,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-02-09T14:13:00Z,Australia,Oceania,28/05/2020,Rectal swab,Homo sapiens
SRR23384579,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-02-09T14:13:00Z,Australia,Oceania,28/05/2020,Rectal swab,Homo sapiens
SRR23384579,-,tet(B)_2,resfinder,Doxycycline;Tetracycline;Minocycline,Escherichia coli,2023-02-09T14:13:00Z,Australia,Oceania,28/05/2020,Rectal swab,Homo sapiens
SRR28375009,-,aph(3')-Ia_10,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(6)-Id_1,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(3'')-Ib_2,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,dfrA19_1,resfinder,Trimethoprim,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,tet(D)_1,resfinder,Doxycycline;Tetracycline,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,catA2_1,resfinder,Chloramphenicol,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,mcr-9_1,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(6)-Id_1,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(3'')-Ib_2,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,dfrA19_1,resfinder,Trimethoprim,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,aph(3')-Ia_1,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,sul1_5,resfinder,Sulfamethoxazole,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,blaDHA-1_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,qnrB4_1,resfinder,Ciprofloxacin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,sul1_5,resfinder,Sulfamethoxazole,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,ere(A)_2,resfinder,Erythromycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aac(6')-IIc_1,resfinder,Gentamicin;Tobramycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(6)-Id_1,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(6)-Id_1,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(3')-Ia_10,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,catA2_1,resfinder,Chloramphenicol,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,mcr-9_1,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(6)-Id_1,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(3'')-Ib_2,resfinder,Streptomycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,dfrA19_1,resfinder,Trimethoprim,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,blaSHV-12_1,resfinder,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,sul1_5,resfinder,Sulfamethoxazole,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,blaDHA-1_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,qnrB4_1,resfinder,Ciprofloxacin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,sul1_5,resfinder,Sulfamethoxazole,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,ere(A)_2,resfinder,Erythromycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aac(6')-IIc_1,resfinder,Gentamicin;Tobramycin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,tet(D)_1,resfinder,Doxycycline;Tetracycline,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(3')-Ia_10,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(3')-Ia_10,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,+,blaSHV-12_1,resfinder,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR28375009,-,aph(3')-Ia_10,resfinder,,Enterobacter hormaechei,2024-03-18T15:22:00Z,USA,North America,09/12/2023,Wound/Abscess,Homo sapiens
SRR27033037,+,sul2_2,resfinder,Sulfamethoxazole,Klebsiella pneumoniae,2023-12-04T06:14:00Z,Tunisia,Africa,2021,,
SRR27033037,+,aph(3'')-Ib_5,resfinder,Streptomycin,Klebsiella pneumoniae,2023-12-04T06:14:00Z,Tunisia,Africa,2021,,
SRR27033037,+,aph(6)-Id_1,resfinder,Streptomycin,Klebsiella pneumoniae,2023-12-04T06:14:00Z,Tunisia,Africa,2021,,
SRR27033037,-,qnrS1_1,resfinder,Ciprofloxacin,Klebsiella pneumoniae,2023-12-04T06:14:00Z,Tunisia,Africa,2021,,
SRR19634185,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2022-06-13T07:42:00Z,United Kingdom,Europe,2020,,Homo sapiens
SRR28587152,+,aph(3'')-Ib_2,resfinder,Streptomycin,Klebsiella oxytoca,2024-04-08T11:24:00Z,Switzerland,Europe,2022,missing,Homo sapiens
SRR28587152,+,aph(3')-VIb_1,resfinder,Amikacin,Klebsiella oxytoca,2024-04-08T11:24:00Z,Switzerland,Europe,2022,missing,Homo sapiens
SRR28587152,+,aph(3'')-Ib_2,resfinder,Streptomycin,Klebsiella oxytoca,2024-04-08T11:24:00Z,Switzerland,Europe,2022,missing,Homo sapiens
SRR28375021,+,blaNDM-5_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,sul1_5,resfinder,Sulfamethoxazole,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,aadA2_1,resfinder,Streptomycin,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,dfrA12_8,resfinder,Trimethoprim,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,tet(A)_6,resfinder,Doxycycline;Tetracycline,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,mph(A)_2,resfinder,Erythromycin;Azithromycin;Spiramycin;Telithromycin,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,+,blaNDM-5_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,sul1_5,resfinder,Sulfamethoxazole,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,aadA2_1,resfinder,Streptomycin,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,dfrA12_8,resfinder,Trimethoprim,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,+,mdf(A)_1,resfinder,,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR28375021,-,mph(A)_2,resfinder,Erythromycin;Azithromycin;Spiramycin;Telithromycin,Escherichia coli,2024-03-18T15:21:00Z,USA,North America,20/01/2024,urine,Homo sapiens
SRR27186997,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,-,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,+,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,+,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,+,aph(3')-Ia_1,resfinder,,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,+,tet(B)_2,resfinder,Doxycycline;Tetracycline;Minocycline,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,+,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,+,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27186997,+,aph(3')-Ia_1,resfinder,,Escherichia coli,2023-12-12T14:47:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187032,-,blaTEM-1C_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-12T14:46:00Z,Hungary,Europe,2016,blood culture,Homo sapiens
SRR27187032,-,blaOXA-1_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam,Escherichia coli,2023-12-12T14:46:00Z,Hungary,Europe,2016,blood culture,Homo sapiens
SRR27187032,-,aac(6')-Ib-cr_1,resfinder,Ciprofloxacin,Escherichia coli,2023-12-12T14:46:00Z,Hungary,Europe,2016,blood culture,Homo sapiens
SRR27187032,-,aac(3)-IIa_1,resfinder,Gentamicin;Tobramycin,Escherichia coli,2023-12-12T14:46:00Z,Hungary,Europe,2016,blood culture,Homo sapiens
SRR27187032,+,blaCTX-M-15_1,resfinder,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin,Escherichia coli,2023-12-12T14:46:00Z,Hungary,Europe,2016,blood culture,Homo sapiens
ERR11861392,+,mph(A)_2,resfinder,Erythromycin;Azithromycin;Spiramycin;Telithromycin,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR11861392,-,sul1_5,resfinder,Sulfamethoxazole,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR11861392,+,blaDHA-1_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR11861392,+,qnrB4_1,resfinder,Ciprofloxacin,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR11861392,-,dfrA17_1,resfinder,Trimethoprim,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR11861392,-,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR11861392,-,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR11861392,-,sul2_3,resfinder,Sulfamethoxazole,Escherichia coli,2023-12-05T14:18:00Z,Netherlands,Europe,2021,feces,
ERR12342510,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-10T09:42:00Z,uncalculated,uncalculated,not collected,,
SRR27187009,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187009,-,tet(B)_2,resfinder,Doxycycline;Tetracycline;Minocycline,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187009,-,aph(3')-Ia_1,resfinder,,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187009,-,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187009,-,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187009,-,aph(3')-Ia_1,resfinder,,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187009,-,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187009,-,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:43:00Z,USA,North America,2021-11,,Gallus gallus
SRR27187025,+,dfrA17_1,resfinder,Trimethoprim,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,aadA5_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,sul1_5,resfinder,Sulfamethoxazole,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,-,mph(A)_2,resfinder,Erythromycin;Azithromycin;Spiramycin;Telithromycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,dfrA17_1,resfinder,Trimethoprim,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,aadA5_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,sul1_5,resfinder,Sulfamethoxazole,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,-,mph(A)_2,resfinder,Erythromycin;Azithromycin;Spiramycin;Telithromycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,sul2_2,resfinder,Sulfamethoxazole,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,tet(A)_6,resfinder,Doxycycline;Tetracycline,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,-,aac(3)-IIa_1,resfinder,Gentamicin;Tobramycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,sul2_2,resfinder,Sulfamethoxazole,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR27187025,+,tet(A)_6,resfinder,Doxycycline;Tetracycline,Escherichia coli,2023-12-12T14:49:00Z,Hungary,Europe,2018,blood culture,Homo sapiens
SRR23384704,+,aac(3)-IId_1,resfinder,Gentamicin;Tobramycin,Enterobacter hormaechei,2023-02-09T14:16:00Z,Australia,Oceania,01/02/2019,respiratory,Homo sapiens
SRR23384704,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Enterobacter hormaechei,2023-02-09T14:16:00Z,Australia,Oceania,01/02/2019,respiratory,Homo sapiens
SRR23384704,-,mph(A)_2,resfinder,Erythromycin;Azithromycin;Spiramycin;Telithromycin,Enterobacter hormaechei,2023-02-09T14:16:00Z,Australia,Oceania,01/02/2019,respiratory,Homo sapiens
SRR23384704,+,aac(3)-IId_1,resfinder,Gentamicin;Tobramycin,Enterobacter hormaechei,2023-02-09T14:16:00Z,Australia,Oceania,01/02/2019,respiratory,Homo sapiens
